,horizon,mse,rmse,mae,mape,mdape,smape,coverage
1417,68 days 01:00:00,18978776.945118558,4356.463811983127,1207.090468656197,0.35783316939268434,0.13639412130929307,0.24659255218693316,0.6411502718189832
1418,68 days 02:00:00,19012113.952595226,4360.288287785021,1208.008099441143,0.35825045805150035,0.13625828801535658,0.246666814464817,0.6412754677245568
1419,68 days 03:00:00,19045502.430529214,4364.1153090322,1208.9544650484618,0.35869298937930705,0.13618660162225382,0.24673632592951567,0.6415815701831717
1420,68 days 04:00:00,19079013.86341764,4367.953051878836,1209.9344639007982,0.359156659799046,0.1360658731851718,0.24680637955948712,0.6419204256048585
1421,68 days 05:00:00,19112522.912978318,4371.787153210723,1210.9725514247275,0.35964051890089266,0.13606245827580743,0.24689493239329288,0.6420006244490156
1422,68 days 06:00:00,19146194.531886864,4375.6364716332255,1212.0262791643559,0.3601321696659946,0.1360766969231107,0.2469922462262505,0.6419752179449506
1423,68 days 07:00:00,19180185.203241248,4379.518832388011,1213.0621529409957,0.3606047359746948,0.1360658731851718,0.24708231107899312,0.641884305514742
1424,68 days 08:00:00,19214462.271420915,4383.430422787718,1214.0395313095023,0.36103751394764083,0.13619180106368967,0.2471513161385456,0.6419850132236262
1425,68 days 09:00:00,19248869.699316394,4387.353382087702,1215.0374730765313,0.36147562317634774,0.13605855097262903,0.2472370870276082,0.6420030732686846
1426,68 days 10:00:00,19283329.116831068,4391.278756447951,1215.9450499647753,0.36189566075283336,0.13580585938763723,0.24731837471821486,0.6421790821823882
1427,68 days 11:00:00,19318072.5826992,4395.232938388954,1216.7027871039993,0.36228645512899876,0.13575292596442434,0.24737454340096574,0.6425555882064845
1428,68 days 12:00:00,19353220.580548823,4399.229543971174,1217.4558266918461,0.36267697992109876,0.13558761356640714,0.24743143580388566,0.6430597389558234
1429,68 days 13:00:00,19388737.88579674,4403.264457853598,1218.2906845482287,0.3630872038842073,0.1355309414456518,0.24751158268631365,0.6433076819473015
1430,68 days 14:00:00,19424563.260128155,4407.3306275032455,1219.1523098829937,0.36350230464579586,0.13545776983541302,0.24759748985883306,0.6435302184347145
1431,68 days 15:00:00,19460791.534577284,4411.438714815982,1220.0654415289225,0.3639329538900406,0.1353588065358117,0.24769703641388874,0.6436177637378784
1432,68 days 16:00:00,19497660.773609735,4415.61555998818,1221.058118804353,0.3643722968961142,0.13533180970012332,0.24780779303169506,0.6435899084141443
1433,68 days 17:00:00,19534423.498175584,4419.776408165416,1222.0300759708068,0.3648125972672752,0.1353035442164699,0.24791927475802872,0.6436603119796258
1434,68 days 18:00:00,19571370.00469184,4423.954114216358,1222.9940207547481,0.3652438232220848,0.1352400525554529,0.24802736737338052,0.6435932755411892
1435,68 days 19:00:00,19608380.413376115,4428.135094300547,1224.0109803952812,0.36565675280357607,0.13515780067818783,0.24814156624328174,0.6434108384758547
1436,68 days 20:00:00,19645352.04600227,4432.3077562374065,1225.0975719401983,0.3660617229027623,0.1352154057858153,0.2482661022869567,0.6430973895582329
1437,68 days 21:00:00,19682198.441541232,4436.46237914188,1226.184574775661,0.3664742268377223,0.13533180970012332,0.24839353689747404,0.6428944436281713
1438,68 days 22:00:00,19718640.210218858,4440.567554966241,1227.2305080450383,0.3668951229258996,0.1353650953331652,0.24851361879198844,0.6427037417964542
1439,68 days 23:00:00,19754399.35692255,4444.59214742169,1228.1539193038584,0.36730424471875933,0.13537386571957039,0.2486012976097857,0.6428166936036831
1440,69 days 00:00:00,19789186.42809955,4448.503841529144,1228.968342895611,0.36771414671935065,0.1353599987887932,0.2486598098980833,0.6431154496032913
1441,69 days 01:00:00,19821807.625798535,4452.168867619302,1229.572430457544,0.36813710712289244,0.1352400525554529,0.24868545668187947,0.6434191032422373
